short,long,num.links,approximate.size.lenght,unit,lwr.size,upr.size,Remarks,Original Source,source
cyclo,cyclopoids,2,1.25,mm,0.5,2,Cyclopoid copepods,"Reid, J. W. Ê2001. ÊA human challenge: discovering and understanding continental copepod habitats. ÊHydrobiologia 453/454:201- 226. Ê",http://www.glsc.usgs.gov/greatlakescopepods/Introduction.php?GROUP=Cyclopoid 
cyclo,cyclopoids,2,1.2,mm,1,1.4,"Numbers calculated from table 2 (average). Body lengths of adult females of cyclopoid copepods, do not include the antennules or caudal setae","MartenReid2007, Table 2 body lenght of different copepods",http://gerrymarten.org/publicatons/pdfs/GM_Cyclopoid-Copepods.pdf
roti,rotifers,4,0.3,mm,0.05,2,0.1_0.5Êmm long (although their size can range from 50Ê_m to over 2 millimeters),,http://en.wikipedia.org/wiki/Rotifer 
roti,rotifers,4,0.208,mm,0.123,0.292,Brachionus plicatili Lorica lengths ranged from 123 to 292 _m and lorica widths from 114 to 199 _m,"Body size variation among strains of the rotifer Brachionus plicatilis, Terry W. Snell, Kelly Carrillo, ",http://www.sciencedirect.com/science/article/pii/0044848684903004 
cala,calanoids copepods,4,1.25,mm,0.5,2,the largest specimens reach 18 mm,,http://en.wikipedia.org/wiki/Calanoida 
cala,calanoids copepods,4,0.93,mm,0.8,1.6,Numbers calculated from table 2. ,Maly1999,http://link.springer.com/article/10.1023%2FA%3A1003597614322#page-1
cala,calanoids copepods,4,1.25,mm,1,1.5,Using Eurytemora affinis as a proxy,Web and Torke2001,http://nas.er.usgs.gov/queries/factsheet.aspx?SpeciesID=178
pico,picophytoplankton,4,0.0011,mm,0.0002,0.002,0.2 and 2 _m,See also BEE 2008,http://en.wikipedia.org/wiki/Picoplankton 
pico,picophytoplankton,4,0.0011,mm,0.0002,0.002,Table 1 ,Callieri 2008,https://www.fba.org.uk/journals/index.php/FRJ/article/view/75 
nano,nanophytoplankton,6,0.011,mm,0.002,0.02,2 - 20 _m,,http://en.wikipedia.org/wiki/Nanophytoplankton 
nano,nanophytoplankton,6,0.011,mm,0.002,0.02,2 - 20 _m,Pan 2007,http://plankt.oxfordjournals.org/content/29/2/187.full.pdf+html 
nano,nanophytoplankton,6,0.031,mm,0.002,0.06,"Table 1 , Nanoplankton",Callieri 2008,https://www.fba.org.uk/journals/index.php/FRJ/article/view/75 
dia,filamentous diatom,2,NA,mm,NA,2,,,http://en.wikipedia.org/wiki/Diatom 
dia,filamentous diatom,2,1.1,mm,0.2,2,,,http://arch.ced.berkeley.edu/hiddenecologies/?page_id=170 
dia,filamentous diatom,2,0.018,mm,0.006,0.03,Melosira_varians,,http://westerndiatoms.colorado.edu/taxa/species/Melosira_varians 
dia,filamentous diatom,2,0.0205,mm,0.011,0.03,Melosira moliniformis,,http://www.eos.ubc.ca/research/phytoplankton/diatoms/centric/melosira/m_moniliformis.html 
dia,filamentous diatom,2,0.125,mm,0.08,0.17,80-170 micrometer Hydrosera triquetra,ChiaWei 1977,http://www.tandfonline.com/doi/pdf/10.1080/00071617700650221 
P,phosphorus,4,NA,,NA,NA,,,
N,nitrogen,4,NA,,NA,NA,,,
bact,bacteria,6,0.00275,mm,0.0003,0.7,"0.3 micrometer up to 0.7 mm, ususally 0.5 - 5 micrometer",,http://en.wikipedia.org/wiki/Bacteria 
ostra,ostracods,2,1,mm,0.2,30,"1Êmm (0.039Êin) in size, but varying from 0.2 to 30Êmm (0.0079",,http://en.wikipedia.org/wiki/Ostracod 
harpa,harpacticoids,1,NA,mm,NA,2,,,http://science.jrank.org/pages/1777/Copepods-Order-Harpacticoida.html 
harpa,harpacticoids,1,1.35,mm,0.2,2.5,0.2 to 2.5 mm,Sarmento 2012,http://www.checklist.org.br/getpdf?SL039-12 
proto,protozoa,4,0.031,mm,0.01,1,"length between 10 to 52 micrometers, but can grow as large as 1 mm",,http://en.wikipedia.org/wiki/Protozoa 
