short,long,taxa1,taxa2,taxa3,biovol.ug.fresh,num.links
cala,calanoids copepods,Calanoids,Eurytemora affinis,Nauplius 1-3,0.43,4
cala,calanoids copepods,Calanoids,Eurytemora affinis,Nauplius 4-6,1.47,4
cala,calanoids copepods,Calanoids,Eurytemora affinis,Copepodit1-3,4.4,4
cala,calanoids copepods,Calanoids,Eurytemora affinis,Copepodit 5-6,8.5,4
cala,calanoids copepods,Calanoids,Eurytemora affinis,Female,14.67,4
cala,calanoids copepods,Calanoids,Eurytemora affinis,Male,13.07,4
cyclo,cyclopoids,Cyclopoids,,Nauplius small,0.43,2
cyclo,cyclopoids,Cyclopoids,,Nauplius large,1.47,2
cyclo,cyclopoids,Cyclopoids,,Copepodit small,4.4,2
cyclo,cyclopoids,Cyclopoids,,Copepodit large + Adults,25,2
roti,rotifers,Rotifers,Brachionus plicatilis,,0.93,4
roti,rotifers,Rotifers,Colurella sp.,,0.1,4
harpa,harpacticoids,Harpacticoids,,Nauplius,1,1
harpa,harpacticoids,Harpacticoids,,Copepodits + Adults,6,1
ostra,ostracods,Ostracods,,Small,0.93,2
ostra,ostracods,Ostracods,,Large,14.67,2
nano,nanophytoplankton,Nanophytoplankton,c.f. Clamydomonas,Small ,0.0000141,6
nano,nanophytoplankton,Nanophytoplankton,c.f. Clamydomonas,Large,0.000032,6
pico,picophytoplankton,Cyanobacterians,Small 1µm,,0.000000524,4
pico,picophytoplankton,Cyanobacterians,Medium 2µm,,0.0000042,4
pico,picophytoplankton,Cyanobacterians,Large 3µm,,0.00001414,4
dia,filamentous diatom,filamentous diatom,Melosira sp.,,0.0222,2
proto,protozoa,HNF,,Small 3µm,0.000014137,4
proto,protozoa,Rhizopods,,,0.0017,4
proto,protozoa,Dino-flagellates,,10 µm,0.0005,4
proto,protozoa,Ciliates,c.f Strombidium,Large,0.019,4
proto,protozoa,Ciliates,c.f. Cyclidium,Medium,0.0005,4
bact,bacteria,bacteria,,,0.000000524,6
P,phosphorus,,,,,4
N,nitrogen,,,,,4
